grupo_edad|sexo|escolaridad|estado_origen|estado_destino|n_muestra_sin_pond|p_kappa1|p_kappa5|p_kappa20|delta_1_vs_5|delta_20_vs_5
25-29|mujer|superior|desempleado|fuera_PEA|1184|0.31590679592012244|0.315646065393326|0.31468375536138965|0.0002607305267964266|0.0009623100319363642
25-29|mujer|superior|fuera_PEA|formal_IMSS|4427|0.12214896119476217|0.1220935558084557|0.12188667331697409|5.540538630646741e-05|0.00020688249148161086
25-29|mujer|superior|fuera_PEA|formal_ISSSTE|4427|0.024087686254666233|0.024071881892749714|0.02401286875363934|1.5804361916518794e-05|5.901313911037265e-05
25-29|mujer|superior|fuera_PEA|informal|4427|0.1989155519946041|0.19891897639036263|0.19893176300866053|3.424395758538923e-06|1.2786618297899732e-05
25-29|mujer|superior|fuera_PEA|desempleado|4427|0.05868821014310339|0.058660675052901214|0.058557859632886095|2.753509020217426e-05|0.00010281542001511906
25-29|mujer|superior|fuera_PEA|fuera_PEA|4427|0.5961595904128641|0.5962549108555308|0.59661083528784|9.532044266669093e-05|0.0003559244323091404
30-34|hombre|basica-|formal_IMSS|formal_IMSS|7380|0.7705367093443569|0.7705447565488063|0.7705748560839618|8.047204449357359e-06|3.009953515553665e-05
30-34|hombre|basica-|formal_IMSS|formal_ISSSTE|7380|0.0032997797953691708|0.0033055468675272925|0.003327117860567375|5.767072158121764e-06|2.1570993040082292e-05
30-34|hombre|basica-|formal_IMSS|informal|7380|0.18545013836803007|0.18542011358636495|0.1853078097450794|3.0024781665111133e-05|0.00011230384128554927
30-34|hombre|basica-|formal_IMSS|desempleado|7380|0.024079181537916963|0.02407853278812237|0.024076106222801142|6.487497945933951e-07|2.4265653212271476e-06
30-34|hombre|basica-|formal_IMSS|fuera_PEA|7380|0.01663419095432688|0.016651050209179178|0.016714110087590394|1.685925485229653e-05|6.305987841121602e-05
30-34|hombre|basica-|formal_ISSSTE|formal_IMSS|204|0.08253793246717633|0.08239935907416941|0.08192378632473162|0.00013857339300692162|0.00047557274943779704
30-34|hombre|basica-|formal_ISSSTE|formal_ISSSTE|204|0.7440533045284728|0.7447635624878941|0.7472011107303275|0.0007102579594212566|0.0024375482424333628
30-34|hombre|basica-|formal_ISSSTE|informal|204|0.14752548003966656|0.14640660013470003|0.14256669421084725|0.0011188799049665354|0.0038399059238527766
30-34|hombre|basica-|formal_ISSSTE|desempleado|204|0.002811605144287806|0.0029809245285717977|0.0035620150494125036|0.0001693193842839916|0.0005810905208407059
30-34|hombre|basica-|formal_ISSSTE|fuera_PEA|204|0.023071677820396413|0.023449553774664615|0.024746393684681036|0.0003778759542682024|0.0012968399100164209
30-34|hombre|basica-|informal|formal_IMSS|14067|0.08155663454653742|0.08155978071547283|0.08157156293611506|3.146168935416749e-06|1.1782220642228558e-05
30-34|hombre|basica-|informal|formal_ISSSTE|14067|0.0032802621006388644|0.003282567478409383|0.003291200984782898|2.305377770518615e-06|8.633506373514812e-06
30-34|hombre|basica-|informal|informal|14067|0.8555354447306853|0.8555043798625293|0.8553880437285356|3.106486815607212e-05|0.00011633613399364418
30-34|hombre|basica-|informal|desempleado|14067|0.019281382408815932|0.019281593298104763|0.019282383066290477|2.1088928883056246e-07|7.89768185713996e-07
30-34|hombre|basica-|informal|fuera_PEA|14067|0.04034627621332254|0.040371678645483786|0.040466809284276026|2.5402432161245048e-05|9.513063879224015e-05
30-34|hombre|basica-|desempleado|formal_IMSS|564|0.25977714336518504|0.25979977802285675|0.259881896483374|2.263465767171624e-05|8.211846051725535e-05
30-34|hombre|basica-|desempleado|formal_ISSSTE|564|0.015742228840810665|0.015857518446577866|0.016275788741473864|0.00011528960576720135|0.00041827029489599835
30-34|hombre|basica-|desempleado|informal|564|0.5147308369013597|0.5135143316148693|0.5091008546015964|0.0012165052864904213|0.004413477013272882
