grupo_edad|sexo|escolaridad|estado_origen|estado_destino|probabilidad|n_muestra_pond|n_muestra_sin_pond|baja_confianza
35-39|mujer|media_sup|informal|desempleado|0.010133475331571854|340333.0|1010|False
35-39|mujer|media_sup|informal|fuera_PEA|0.17334708416932426|340333.0|1010|False
35-39|mujer|media_sup|desempleado|formal_IMSS|0.2009472770074196|13193.0|38|False
35-39|mujer|media_sup|desempleado|informal|0.20168129683270952|13193.0|38|False
35-39|mujer|media_sup|desempleado|desempleado|0.16776740752934005|13193.0|38|False
35-39|mujer|media_sup|desempleado|fuera_PEA|0.4296040186305308|13193.0|38|False
35-39|mujer|media_sup|fuera_PEA|formal_IMSS|0.03854886098404761|338748.0|1005|False
35-39|mujer|media_sup|fuera_PEA|informal|0.22757143385525785|338748.0|1005|False
35-39|mujer|media_sup|fuera_PEA|desempleado|0.01572823474049207|338748.0|1005|False
35-39|mujer|media_sup|fuera_PEA|fuera_PEA|0.7181514704202024|338748.0|1005|False
35-39|mujer|superior|formal_IMSS|formal_IMSS|0.8230305498884999|308090.0|1118|False
35-39|mujer|superior|formal_IMSS|informal|0.12651746168902167|308090.0|1118|False
35-39|mujer|superior|formal_IMSS|desempleado|0.0076639726076108295|308090.0|1118|False
35-39|mujer|superior|formal_IMSS|fuera_PEA|0.042788015814867617|308090.0|1118|False
35-39|mujer|superior|informal|formal_IMSS|0.06571245163232323|363973.0|1381|False
35-39|mujer|superior|informal|informal|0.8360138109098321|363973.0|1381|False
35-39|mujer|superior|informal|desempleado|0.0022227363887856173|363973.0|1381|False
35-39|mujer|superior|informal|fuera_PEA|0.09605100106905917|363973.0|1381|False
35-39|mujer|superior|desempleado|formal_IMSS|0.16898266787371646|14702.0|67|False
35-39|mujer|superior|desempleado|informal|0.41601062064867655|14702.0|67|False
35-39|mujer|superior|desempleado|desempleado|0.17432800260460551|14702.0|67|False
35-39|mujer|superior|desempleado|fuera_PEA|0.24067870887300147|14702.0|67|False
35-39|mujer|superior|fuera_PEA|formal_IMSS|0.08079899044813191|168983.0|605|False
35-39|mujer|superior|fuera_PEA|informal|0.2323136232563357|168983.0|605|False
35-39|mujer|superior|fuera_PEA|desempleado|0.009006635056349589|168983.0|605|False
35-39|mujer|superior|fuera_PEA|fuera_PEA|0.6778807512391829|168983.0|605|False
40-44|hombre|basica-|formal_IMSS|formal_IMSS|0.8453563431716239|380529.0|1354|False
40-44|hombre|basica-|formal_IMSS|informal|0.1193779315642673|380529.0|1354|False
40-44|hombre|basica-|formal_IMSS|desempleado|0.01485601961711823|380529.0|1354|False
40-44|hombre|basica-|formal_IMSS|fuera_PEA|0.02040970564699064|380529.0|1354|False
40-44|hombre|basica-|informal|formal_IMSS|0.06895855118587638|969154.0|2649|False
40-44|hombre|basica-|informal|informal|0.8785419474630568|969154.0|2649|False
40-44|hombre|basica-|informal|desempleado|0.004752679555746575|969154.0|2649|False
40-44|hombre|basica-|informal|fuera_PEA|0.047746821795320145|969154.0|2649|False
40-44|hombre|basica-|desempleado|formal_IMSS|0.24674783820803045|23092.0|68|False
40-44|hombre|basica-|desempleado|informal|0.4940892054290542|23092.0|68|False
40-44|hombre|basica-|desempleado|desempleado|0.13934537715235976|23092.0|68|False
40-44|hombre|basica-|desempleado|fuera_PEA|0.1198175792105556|23092.0|68|False
40-44|hombre|basica-|fuera_PEA|formal_IMSS|0.021310326454643685|94875.0|267|False
40-44|hombre|basica-|fuera_PEA|informal|0.33788720157923463|94875.0|267|False
40-44|hombre|basica-|fuera_PEA|desempleado|0.030916074700679395|94875.0|267|False
40-44|hombre|basica-|fuera_PEA|fuera_PEA|0.6098863972654422|94875.0|267|False
40-44|hombre|media_sup|formal_IMSS|formal_IMSS|0.8465726668429517|293116.0|996|False
40-44|hombre|media_sup|formal_IMSS|informal|0.1281302167468304|293116.0|996|False
40-44|hombre|media_sup|formal_IMSS|desempleado|0.008311764904257968|293116.0|996|False
40-44|hombre|media_sup|formal_IMSS|fuera_PEA|0.016985351505959933|293116.0|996|False
40-44|hombre|media_sup|informal|formal_IMSS|0.07141098026321524|307809.0|979|False
40-44|hombre|media_sup|informal|informal|0.8924915075501364|307809.0|979|False
40-44|hombre|media_sup|informal|desempleado|0.015047002759137925|307809.0|979|False
40-44|hombre|media_sup|informal|fuera_PEA|0.02105050942751048|307809.0|979|False
40-44|hombre|media_sup|desempleado|formal_IMSS|0.2771961491298438|16250.0|44|False
40-44|hombre|media_sup|desempleado|informal|0.4909723357370848|16250.0|44|False
40-44|hombre|media_sup|desempleado|desempleado|0.05366932067600017|16250.0|44|False
40-44|hombre|media_sup|desempleado|fuera_PEA|0.17816219445707115|16250.0|44|False
40-44|hombre|media_sup|fuera_PEA|formal_IMSS|0.09558258129866941|23673.0|77|False
40-44|hombre|media_sup|fuera_PEA|informal|0.3415986165422529|23673.0|77|False
40-44|hombre|media_sup|fuera_PEA|desempleado|0.15161509019726915|23673.0|77|False
40-44|hombre|media_sup|fuera_PEA|fuera_PEA|0.41120371196180855|23673.0|77|False
40-44|hombre|superior|formal_IMSS|formal_IMSS|0.8554069316846478|307112.0|1138|False
40-44|hombre|superior|formal_IMSS|informal|0.12536331580918672|307112.0|1138|False
